profile_name,caption,tags,,,
enerianna,"thanksgiving has always been one of my favorite holidays, partially bc of the food but also bc of the space to appreciate everyone even more— i think all of our thanksgivings look and feel different this year, but no matter what I am so thankful for literally every single one of you. from family, friends, coworkers, internet friends, and everyone in between, I genuinely just have so much love for all of you and hope you know I grateful I am for your presence in my life. I never really write long captions but just really wanted to share how grateful I am and how you are all family to me🧡 if you’re on here, I promise I am thankful for your existence.",,,,
enerianna,IT’S TAYLORS WORLD & WE’RE JUST LIVING IN IT,,,,
enerianna,we had a marvelous time✨,,,,
enerianna,"we’re doing good, we’re on some new shit🤍",,,,
lynnettejoselly,Surround yourself with people who inspire you to level up. 🖤🖤🖤 ,#PrettyGirlSwag,,,
lynnettejoselly,"I’m just a regular degular shmegular girl from Queens, New York.🗽Beyond excited to be rockin’ the new ",#ReebokxCardiB sneakers! C’mon now say it with me... okkkkuuurrrr! ♥️ The @Reebok Club C @iamcardib Collection is out now at @champssports 👟 #Reebok #sponsored,,,
lynnettejoselly,Sorry I can’t hear you over the volume of my hair. 👩🏼‍🦱 @BELLAKURLS clipin curly hair extensions www.BellaKurls.com,,,,
lynnettejoselly,"Psst, you got the good stuff?! 🤍 [",#ad] Now that I am a blonde my wash days are a little different. I’ve added @TheGoodStuffHair Color Protect Milk to keep my color looking its best and my hair moisturized all day long. The Good Stuff also has other no-rinse conditioners dedicated specifically to the curly and coily girls! 👩🏼‍🦱 These hair products are available at @ultabeauty where you can enjoy BOGO 50% off sale between 11/22/2020 – 12/6/2020. 🖤 #TGSpartner #UltaBeauty,,,
lynnettejoselly,At the end of the day no one is going to be as committed to your happiness and dreams than you are. 🖤 ,#BossUp,,,
lynnettejoselly,"Salty air, sun-kissed hair. 🌴 @BellaKurls clipin hair extensions wavy texture. Click link in bio to shop my outfit. ",#LJootd,,,
lynnettejoselly,"Okayyyy girl, I see you glowing with self love and becoming a magnet to good vibrations. I’m proud of you. ☀️ ",#SelfCare,,,
lynnettejoselly,"My lip gloss is cool, my lip gloss is poppin’ 💋 Testing out the Hi-Fi Shine Ultra Cushion Lipgloss that @UrbanDecayCosmetics sent over. 💛 Click link in bio to see a list of all the different shades available! ",#UrbanDecayMusic: Kiss - Prince (Daft Punk Remix),,,
